date,time,item_name,category,quantity,price,payment_type
2025-01-01,19:28:32,Stout Beer,Beer,3,8.91,Card
2025-01-01,17:56:16,Stout Beer,Beer,3,9.28,Card
2025-01-01,16:33:11,Vodka Soda,Cocktail,1,10.85,Card
2025-01-01,12:04:08,Vodka Shot,Shot,1,5.4,Card
2025-01-01,22:24:20,Mojito,Cocktail,1,10.42,Card
2025-01-01,21:24:32,Lager Beer,Beer,2,6.58,Cash
2025-01-01,23:30:30,Vodka Shot,Shot,1,5.73,Cash
2025-01-01,19:50:19,Old Fashioned,Cocktail,1,14.87,Cash
2025-01-01,23:48:40,White Wine,Wine,1,9.57,Card
2025-01-01,15:49:34,White Wine,Wine,1,9.33,Card
2025-01-01,18:41:40,Vodka Shot,Shot,1,6.1,Card
2025-01-01,04:28:17,Tequila Shot,Shot,1,6.27,Card
2025-01-01,04:19:49,Vodka Soda,Cocktail,3,9.79,Card
2025-01-01,19:53:38,Red Wine,Wine,2,10.94,Card
2025-01-01,20:17:39,Tequila Shot,Shot,2,6.71,Cash
2025-01-01,10:46:54,Old Fashioned,Cocktail,3,14.23,Card
2025-01-01,12:47:42,Rum & Coke,Cocktail,1,10.82,Card
2025-01-01,16:47:30,Rum & Coke,Cocktail,3,10.41,Cash
2025-01-01,19:10:00,White Wine,Wine,1,9.08,Card
2025-01-01,23:02:46,Whiskey Sour,Cocktail,1,12.5,Cash
2025-01-01,23:30:25,Vodka Shot,Shot,3,6.29,Card
2025-01-01,21:38:33,Margarita,Cocktail,1,12.99,Card
2025-01-01,22:32:30,White Wine,Wine,1,9.26,Card
2025-01-01,07:28:45,Old Fashioned,Cocktail,2,13.18,Card
2025-01-01,12:35:28,White Wine,Wine,2,9.06,Card
2025-01-01,07:46:21,Stout Beer,Beer,2,9.14,Card
2025-01-01,15:33:08,Rum & Coke,Cocktail,1,10.79,Cash
2025-01-01,17:07:28,IPA Beer,Beer,2,7.02,Card
2025-01-01,20:44:09,Stout Beer,Beer,2,8.26,Card
2025-01-01,23:42:34,Lager Beer,Beer,1,6.13,Card
2025-01-01,18:37:40,Tequila Shot,Shot,2,6.26,Card
2025-01-01,17:53:01,Old Fashioned,Cocktail,1,13.36,Card
2025-01-01,18:00:19,IPA Beer,Beer,3,7.67,Card
2025-01-01,21:50:42,Stout Beer,Beer,2,9.52,Cash
2025-01-01,22:06:30,Stout Beer,Beer,1,8.55,Card
2025-01-01,07:24:07,White Wine,Wine,1,9.93,Card
2025-01-01,08:07:28,Old Fashioned,Cocktail,3,14.52,Card
2025-01-01,17:59:52,Rum & Coke,Cocktail,1,11.22,Card
2025-01-01,13:40:48,Lager Beer,Beer,1,7.22,Card
2025-01-01,14:03:16,Vodka Soda,Cocktail,1,10.56,Card
2025-01-01,22:44:25,Vodka Shot,Shot,2,6.7,Card
2025-01-01,19:28:43,Red Wine,Wine,1,9.89,Card
2025-01-01,18:33:16,Rum & Coke,Cocktail,2,11.37,Card
2025-01-01,18:14:05,Mojito,Cocktail,1,10.43,Card
2025-01-01,18:39:32,IPA Beer,Beer,1,8.52,Card
2025-01-01,18:54:32,Stout Beer,Beer,2,8.18,Cash
2025-01-01,17:00:29,Whiskey Sour,Cocktail,2,13.38,Cash
2025-01-01,12:43:16,Lager Beer,Beer,1,7.92,Card
2025-01-01,17:07:42,Vodka Soda,Cocktail,2,10.63,Card
2025-01-01,17:02:57,IPA Beer,Beer,2,8.36,Card
2025-01-01,23:23:45,Red Wine,Wine,1,10.09,Card
2025-01-01,23:27:16,Lager Beer,Beer,3,6.14,Card
2025-01-01,23:31:58,Stout Beer,Beer,2,9.77,Card
2025-01-01,15:22:57,Old Fashioned,Cocktail,1,14.85,Cash
2025-01-01,19:10:32,Stout Beer,Beer,2,8.21,Card
2025-01-01,22:51:53,Mojito,Cocktail,2,10.3,Card
2025-01-01,21:01:53,Whiskey Sour,Cocktail,1,12.26,Card
2025-01-01,22:16:02,IPA Beer,Beer,1,8.19,Cash
2025-01-01,21:13:32,Lager Beer,Beer,3,7.07,Card
2025-01-01,19:04:13,Rum & Coke,Cocktail,1,11.07,Card
2025-01-01,07:31:57,Red Wine,Wine,1,10.37,Card
2025-01-01,09:55:24,Stout Beer,Beer,1,8.46,Card
2025-01-01,23:41:19,Red Wine,Wine,1,10.8,Card
2025-01-01,20:18:55,Margarita,Cocktail,1,12.74,Card
2025-01-01,01:27:59,Mojito,Cocktail,1,10.47,Card
2025-01-01,15:14:04,Tequila Shot,Shot,1,5.42,Card
2025-01-01,08:50:13,Old Fashioned,Cocktail,3,13.22,Card
2025-01-01,20:59:03,White Wine,Wine,2,9.58,Cash
2025-01-01,17:41:43,Lager Beer,Beer,2,6.86,Card
2025-01-01,15:06:30,Margarita,Cocktail,2,11.24,Card
2025-01-01,21:47:35,Mojito,Cocktail,3,10.03,Card
2025-01-01,20:02:55,Vodka Soda,Cocktail,1,9.11,Card
2025-01-01,23:15:25,Vodka Soda,Cocktail,1,10.96,Card
2025-01-01,19:50:25,Vodka Shot,Shot,2,5.18,Card
2025-01-01,17:20:16,Mojito,Cocktail,2,10.49,Cash
2025-01-01,22:46:21,Vodka Soda,Cocktail,1,10.71,Card
2025-01-01,23:31:34,Old Fashioned,Cocktail,3,13.08,Card
2025-01-01,22:58:00,IPA Beer,Beer,2,7.42,Cash
2025-01-01,12:33:40,Stout Beer,Beer,1,9.67,Card
2025-01-01,18:07:55,Red Wine,Wine,1,9.77,Card
2025-01-01,13:50:49,Lager Beer,Beer,1,7.96,Card
2025-01-01,13:25:21,Red Wine,Wine,2,10.66,Card
2025-01-01,15:55:01,IPA Beer,Beer,1,8.47,Cash
2025-01-01,18:07:37,Vodka Soda,Cocktail,1,9.48,Card
2025-01-01,19:12:07,Old Fashioned,Cocktail,1,13.56,Card
2025-01-01,20:22:39,Rum & Coke,Cocktail,2,10.7,Card
2025-01-01,19:10:02,Whiskey Sour,Cocktail,3,13.46,Card
2025-01-01,22:13:58,IPA Beer,Beer,1,7.5,Card
2025-01-01,22:28:57,Vodka Shot,Shot,1,6.11,Card
2025-01-01,17:32:47,Vodka Shot,Shot,3,5.08,Card
2025-01-01,22:28:59,Lager Beer,Beer,2,7.08,Card
2025-01-01,23:48:20,Tequila Shot,Shot,1,6.46,Card
2025-01-01,18:22:21,IPA Beer,Beer,1,8.06,Card
2025-01-01,16:08:48,Vodka Soda,Cocktail,1,9.26,Card
2025-01-01,20:11:20,Vodka Shot,Shot,1,5.7,Card
2025-01-01,09:52:03,Red Wine,Wine,2,10.54,Card
2025-01-01,17:16:47,Margarita,Cocktail,3,12.58,Card
2025-01-01,23:03:49,Old Fashioned,Cocktail,3,14.19,Card
2025-01-01,09:28:05,IPA Beer,Beer,3,7.64,Card
2025-01-01,22:28:58,Tequila Shot,Shot,2,5.8,Card
2025-01-01,21:10:26,Tequila Shot,Shot,3,6.9,Card
2025-01-01,21:26:22,White Wine,Wine,2,8.6,Card
2025-01-01,10:22:11,Lager Beer,Beer,2,6.13,Card
2025-01-01,04:12:05,White Wine,Wine,2,9.6,Card
2025-01-01,17:56:40,IPA Beer,Beer,1,8.27,Card
2025-01-01,20:08:29,Whiskey Sour,Cocktail,1,13.29,Cash
2025-01-01,16:07:02,Vodka Shot,Shot,1,6.51,Card
2025-01-01,17:43:02,White Wine,Wine,3,9.9,Card
